sub_id	form_lg	age	sex	hispanic	non_hispanic	decline	black	am_indian	asian	hawaiian	white	disorder	disorder_exp	e_native	e_age_learn	age_move_us	native_lg	home_lg	dominancelg1	dominancelg2	acquisitionlg1	acquisitionlg2	percent_exp_eng	percent_exp_sp	percent_read_eng	percent_read_sp	percent_speak_eng	percent_speak_sp	years_education	education	english	e_acquire_age	e_fluent_age	e_beganread_age	e_fluentread_age	e_country_spoken_y	e_country_spoken_y_m	e_family_spoken_y	e_family_spoken_y_m	e_work_spoken_y	e_work_spoken_y_m	e_speaking_prof	e_understanding_prof	e_reading_prof	e_friends_con	e_family_con	e_reading_con	e_instruction_con	e_tv_con	e_music_con	e_friends_exp	e_family_exp	e_reading_exp	e_instruction_exp	e_tv_exp	e_music_exp	e_selfrate_accent	e_otherrate_accent	spanish	s_acquire_age	s_fluent_age	s_beganread_age	s_fluentread_age	s_country_spoken_y	s_country_spoken_y_m	s_family_spoken_y	s_family_spoken_y_m	s_work_spoken_y	s_work_spoken_y_m	s_speaking_prof	s_understanding_prof	s_reading_prof	s_friends_con	s_family_con	s_reading_con	s_instruction_con	s_tv_con	s_music_con	s_friends_exp	s_family_exp	s_reading_exp	s_instruction_exp	s_tv_exp	s_music_exp	s_selfrate_accent	s_otherrate_accent
leapq_sp_04	1	20	1	1	0	0	0	0	0	0	0	0	NA	0	4	NA	1	0	1	0	1	0	10	90	70	30	50	50	17	5	2	4	7	6	7	20	20	1	1	17	17	8	8	8	10	4	8	9	8	8	8	2	8	0	8	8	4	6	1	2	4	5	7	2	2	20	20	3	3	8	8	8	5	10	3	3	5	5	5	10	5	3	3	3	4	1
leapq_sp_05	1	19	1	1	0	0	0	0	0	0	1	0	NA	0	5	NA	1	1	0	1	1	0	50	45	80	15	45	45	14	4	2	4	6	5	6	19	19	0	0	14	14	10	10	10	9	1	10	8	8	8	10	7	10	8	5	5	1	0	1	1	3	3	4	0	0	19	19	0	0	9	10	10	5	10	9	6	8	7	5	10	5	1	5	7	1	0
leapq_sp_06	1	19	0	1	0	0	0	0	0	0	0	0	NA	0	4	4	1	0	1	0	1	0	50	50	55	40	30	60	15	3	2	4	6	5	6	15	15.91666667	15	15.91666667	15	15.91666667	10	10	10	0	0	0	0	0	0	7	5	10	10	5	6	2	1	1	1	3	4	6	4	4.166666667	19	19.91666667	0	0	10	10	10	10	10	5	0	6	6	5	5	3	0	6	6	0	0
leapq_sp_08	1	19	1	1	0	0	0	0	0	0	1	0	NA	0	5	0	1	0	0	1	1	0	70	30	80	20	60	40	14	4	2	5	6	5	6	19	19.75	14	14	14	14.75	8	8	8	9	9	10	7	9	8	10	8	10	7	9	9	4	3	1	3	4	4	4	19	19.75	19	19.75	16	16	8	8	8	8	9	10	6	9	7	6	10	3	1	4	4	1	3
leapq_sp_09	1	22	1	1	0	0	0	0	0	0	1	0	NA	1	NA	NA	NA	NA	0	1	0	1	80	20	100	0	90	10	16	5	1	1	5	5	7	22	22	22	22.16666667	13	13	10	10	10	8	9	10	8	8	4	9	7	10	9	9	9	0	0	1	2	4	4	6	0	0.166666667	22	22.16666667	3	3	4	8	4	2	10	1	4	7	1	3	3	1	0	4	1	7	7
leapq_sp_10	1	18	0	1	0	0	0	0	0	0	0	0	NA	0	5	NA	1	0	1	0	1	0	25	75	50	50	40	60	13	4	2	5	7	6	7	18	18.91666667	0	0	11	11	7	8	8	9	10	9	8	6	5	9	2	8	1	5	5	1	2	1	1	7	5	7	0	0	18	18.91666667	2	2	9	9	9	9	10	8	1	5	5	10	10	9	1	5	5	2	1
leapq_sp_11	1	18	1	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	0	1	1	0	75	25	70	30	60	40	13	2	2	5	9	7	10	18	18.25	11	11	18	18.25	10	10	10	10	2	9	0	10	10	10	5	10	0	7	8	1	1	1	1	14	7	11	0	0	18	18.25	18	18.25	5	10	9	3	10	8	0	8	2	2	6	3	0	4	3	2	5
leapq_sp_12	1	18	1	1	0	0	0	0	0	0	0	0	NA	1	5	0	1	0	0	1	1	0	50	48	95	4	50	50	14	4	2	5	5	5	5	18	18.75	18	18.75	18	18.75	10	10	10	10	10	10	0	10	10	10	5	10	1	10	10	0	0	1	1	5	5	7	0	0	18	18.75	0	0	10	10	8	10	10	10	0	10	10	10	10	7	1	10	10	0	0
leapq_sp_14	1	19	0	1	0	0	0	0	0	0	1	0	NA	1	NA	NA	NA	NA	0	1	0	1	70	30	95	5	90	10	15	4	1	3	5	4	6	19	19.91666667	19	19.91666667	15	15	0	0	0	5	10	8	0	5	1	10	7	10	0	8	8	0	0	1	3	4	8	10	0	0.5	19	19.91666667	0	0	7	8	8	6	10	4	0	7	1	6	6	3	0	2	2	5	4
leapq_sp_15	1	21	1	1	0	0	0	0	0	0	0	0	NA	1	4	1	1	1	1	0	1	0	70	30	60	40	20	80	16	5	2	4	10	6	10	21	21.83333333	18	18.83333333	16	16.83333333	6	8	8	5	5	5	7	9	8	8	5	8	7	8	8	6	5	1	2	4	6	6	21	21.83333333	21	21.83333333	18	18.83333333	8	8	7	10	10	7	6	9	8	10	10	6	6	8	8	5	5
leapq_sp_16	1	17	1	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	0	0	1	0	1	70	29	100	0	80	10	13	4	1	1	4	5	8	16	16	17	17	13	13	10	10	10	6	10	5	0	2	1	5	5	4	0	2	2	1	0	2	2	4	5	8	17	17	17	17	0	0	7	7	4	2	10	1	0	2	2	5	7	1	0	3	2	3	2
leapq_sp_18	1	18	1	1	0	0	0	0	0	0	1	0	NA	1	3	0	1	0	1	0	1	0	80	10	85	10	30	35	15	5	2	3	4	4	5	18	18.41666667	4	4	15	15	9	9	9	9	1	10	9	9	9	9	1	9	9	8	3	0	0	1	1	5	10	11	18	18.41666667	18	18.41666667	2	2	9	9	9	1	10	0	1	2	7	1	10	2	1	2	7	1	1
leapq_sp_19	1	19	0	1	0	0	0	0	0	0	1	0	NA	1	NA	NA	NA	0	0	1	0	1	50	50	70	30	50	50	13	4	1	2	6	5	7	19	19	19	19	17	17	10	10	10	6	8	10	1	0	0	8	5	8	0	8	6	1	1	2	2	7	8	10	2	2	19	19	0	0	8	9	7	4	10	7	0	3	4	3	5	3	0	3	4	3	1
leapq_sp_20	1	20	1	1	0	0	0	0	0	0	0	0	NA	0	3	17	1	0	1	0	1	0	70	30	50	50	45	55	16	4	2	3	5	5	6	4	4.25	20	20.83333333	3	3.166666667	9	9	10	5	10	8	0	9	9	9	7	9	0	10	9	0	0	1	1	2	4	4	17	17	20	20.83333333	12	12	10	10	10	9	10	9	0	5	5	8	8	8	0	0	6	0	0
leapq_sp_21	1	19	1	1	0	0	0	0	0	0	0	0	NA	0	5	1	1	0	0	1	0	1	51.28205128	48.71794872	100	0	66.66666667	33.33333333	13	5	2	5	9	9	11	18	18	5	5	13	13	9	9	9	10	5	1	0	0	0	10	8	10	10	10	8	0	0	1	1	2	9	13	16	16	16	16	0	0	0	0	0	0	10	0	0	4	0	0	5	0	0	0	0	3	2
leapq_sp_22	1	21	1	1	0	0	0	0	0	0	0	0	NA	0	7	0	1	0	1	0	1	0	50	50	50	50	50	50	15	4	2	7	14	10	16	18	18	2	2	8	8	8	8	6	4	0	5	7	4	4	9	9	10	8	4	4	2	2	1	0	6	13	15	3	3	21	21	4	4	8	8	7	10	10	3	2	6	8	10	10	7	9	3	3	1	1
leapq_sp_23	1	20	1	0	0	1	0	0	0	0	1	0	NA	0	3.5	0	1	0	1	0	1	0	50	50	60	40	60	40	16	5	2	3.5	6	6	7	20	20	10	10	16	16	10	10	10	8	6	7	3	10	5	7	9	10	10	10	10	3	3	1	1.5	5	4.5	6	20	20	20	20	14	14	9	10	10	6	10	8	7	9	5	5	10	5	1	9	8	0	2
